estatus,banco,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30
0,PROFESIONAL,66.75 ,28.04 ,0.41 ,1.59 ,0.46 ,2.26 ,28.13 ,84.15 ,1.56 ,5.70 ,7.06 ,95.41 ,75.62 ,19.78 ,4.59 ,3.47 ,79.32 ,74.46 ,67.10 ,31.75 ,2.14 ,54.28 ,45.72 ,16.50 ,30.62 ,35.17 ,9.04 ,2.01 ,21.65 ,3.31 
0,VIMENCA,38.59 ,1.55 ,50.83 ,5.00 ,0.00 ,3.03 ,52.56 ,76.80 ,1.20 ,20.14 ,21.44 ,99.10 ,99.10 ,0.00 ,0.90 ,10.79 ,50.25 ,50.25 ,89.42 ,68.21 ,11.32 ,48.91 ,51.09 ,53.74 ,66.68 ,18.07 ,9.08 ,11.32 ,8.17 ,0.43 
0,RESERVAS,27.40 ,54.61 ,7.12 ,3.66 ,0.72 ,3.67 ,58.53 ,77.82 ,2.36 ,2.76 ,5.84 ,90.34 ,61.09 ,29.25 ,9.66 ,4.04 ,35.21 ,32.56 ,33.16 ,73.35 ,4.18 ,58.84 ,41.16 ,26.56 ,65.55 ,15.85 ,6.29 ,3.86 ,26.91 ,13.79 
0,SCOTIA BANK,61.35 ,33.30 ,0.07 ,3.31 ,0.07 ,0.59 ,32.23 ,86.66 ,3.43 ,3.29 ,6.07 ,90.31 ,75.81 ,14.50 ,9.69 ,6.48 ,70.80 ,69.18 ,61.42 ,37.63 ,4.33 ,50.91 ,49.09 ,18.70 ,35.53 ,23.36 ,5.81 ,4.23 ,29.78 ,4.61 
0,CITIBANK,31.22 ,47.30 ,12.38 ,4.48 ,0.00 ,3.64 ,53.92 ,64.31 ,4.63 ,3.92 ,19.86 ,78.91 ,62.22 ,16.69 ,21.09 ,10.14 ,48.55 ,43.16 ,43.60 ,82.51 ,8.16 ,45.12 ,54.88 ,16.03 ,74.46 ,23.01 ,3.17 ,7.26 ,34.80 ,8.93 
0,POPULAR,35.57 ,55.02 ,1.51 ,3.16 ,0.28 ,2.10 ,54.83 ,80.72 ,1.42 ,6.37 ,8.52 ,93.91 ,54.58 ,39.34 ,6.09 ,3.09 ,44.07 ,41.18 ,35.57 ,65.44 ,6.29 ,38.63 ,61.37 ,38.95 ,61.80 ,19.54 ,6.14 ,5.88 ,26.75 ,3.55 
0,DEL PROGRESO,35.46 ,47.54 ,8.52 ,2.70 ,1.04 ,4.25 ,54.16 ,80.30 ,1.48 ,4.88 ,5.88 ,91.28 ,43.79 ,47.48 ,8.72 ,4.94 ,44.16 ,39.21 ,43.59 ,61.98 ,5.69 ,33.57 ,66.43 ,13.67 ,59.55 ,20.93 ,8.70 ,5.05 ,16.01 ,2.07 
0,B.H.D.,32.91 ,55.83 ,2.64 ,2.87 ,1.11 ,3.62 ,55.28 ,77.51 ,3.87 ,4.39 ,7.05 ,89.83 ,42.76 ,47.07 ,10.17 ,4.73 ,42.46 ,39.01 ,34.21 ,69.30 ,4.24 ,47.40 ,52.60 ,24.71 ,62.90 ,15.43 ,8.15 ,3.89 ,17.99 ,9.28 
0,CRUZ,58.42 ,21.58 ,13.60 ,3.60 ,0.14 ,2.38 ,34.86 ,81.58 ,1.52 ,10.02 ,12.49 ,96.46 ,55.11 ,41.34 ,3.54 ,2.06 ,71.61 ,68.66 ,72.02 ,41.35 ,3.33 ,43.24 ,56.76 ,8.03 ,40.20 ,22.47 ,7.08 ,3.19 ,23.70 ,0.32 
0,BDI,25.59 ,60.56 ,6.87 ,1.22 ,3.17 ,4.18 ,60.74 ,83.75 ,0.67 ,10.95 ,11.54 ,85.71 ,82.88 ,2.83 ,14.29 ,3.64 ,30.55 ,29.80 ,32.28 ,78.54 ,2.13 ,55.30 ,44.70 ,6.85 ,76.23 ,31.28 ,22.55 ,2.08 ,3.34 ,0.90 
0,PROFESIONAL,68.42 ,26.22 ,0.06 ,1.38 ,0.40 ,2.83 ,26.09 ,80.04 ,1.23 ,4.99 ,7.49 ,95.73 ,74.45 ,21.27 ,4.27 ,3.60 ,85.47 ,76.07 ,68.42 ,29.21 ,2.17 ,55.00 ,45.00 ,15.43 ,28.40 ,37.43 ,9.29 ,1.93 ,47.40 ,3.04 
0,VIMENCA,48.94 ,1.49 ,40.84 ,4.58 ,0.00 ,2.54 ,42.50 ,63.94 ,1.03 ,18.77 ,20.15 ,99.49 ,99.49 ,0.00 ,0.51 ,10.53 ,76.55 ,76.55 ,89.78 ,66.21 ,14.38 ,47.10 ,52.90 ,53.62 ,53.01 ,23.78 ,11.55 ,14.38 ,9.09 ,0.40 
0,RESERVAS,23.89 ,58.30 ,7.12 ,4.02 ,0.73 ,3.42 ,63.74 ,77.30 ,2.52 ,2.96 ,6.49 ,93.31 ,67.80 ,25.51 ,6.69 ,3.92 ,30.90 ,28.70 ,29.34 ,78.59 ,5.40 ,57.95 ,42.05 ,28.61 ,69.96 ,17.58 ,7.57 ,5.01 ,31.90 ,13.53 
0,SCOTIA BANK ,60.95 ,32.08 ,0.07 ,3.14 ,0.06 ,2.20 ,30.96 ,87.11 ,3.29 ,3.02 ,5.50 ,89.97 ,78.94 ,11.03 ,10.03 ,6.56 ,69.96 ,67.97 ,61.01 ,35.85 ,4.62 ,49.91 ,50.09 ,23.01 ,34.02 ,28.27 ,6.21 ,4.48 ,28.00 ,4.57 
0,CITIBANK ,29.72 ,47.03 ,13.31 ,4.57 ,0.00 ,4.54 ,57.02 ,63.84 ,4.66 ,4.04 ,21.60 ,84.07 ,63.93 ,20.14 ,15.93 ,9.54 ,46.55 ,42.29 ,43.03 ,85.87 ,9.64 ,44.51 ,55.49 ,20.69 ,76.96 ,25.80 ,3.79 ,8.76 ,45.86 ,9.24 
0,POPULAR ,35.24 ,54.87 ,1.70 ,3.42 ,1.88 ,3.52 ,56.13 ,83.02 ,0.78 ,7.50 ,9.51 ,96.03 ,62.99 ,33.04 ,3.97 ,3.21 ,42.45 ,40.18 ,35.67 ,64.48 ,7.30 ,36.23 ,63.77 ,39.70 ,62.50 ,23.05 ,7.13 ,6.91 ,20.72 ,4.18 
0,DEL PROGRESO ,37.91 ,45.86 ,7.75 ,3.45 ,0.86 ,3.72 ,53.32 ,81.48 ,1.61 ,5.38 ,6.38 ,94.63 ,53.34 ,41.29 ,5.37 ,4.77 ,46.53 ,42.12 ,44.43 ,59.56 ,6.61 ,32.21 ,67.79 ,32.10 ,57.26 ,24.72 ,9.99 ,5.98 ,14.53 ,2.30 
0,B.H.D.,34.85 ,54.34 ,1.95 ,3.06 ,1.20 ,4.02 ,54.68 ,79.41 ,2.32 ,4.55 ,7.48 ,91.47 ,50.42 ,41.05 ,8.53 ,5.73 ,43.89 ,40.60 ,35.49 ,65.57 ,4.86 ,46.47 ,53.53 ,24.63 ,60.84 ,18.50 ,9.16 ,4.49 ,20.71 ,7.22 
0,CRUZ,43.53 ,27.27 ,20.49 ,6.30 ,0.11 ,2.07 ,48.03 ,78.09 ,1.18 ,12.33 ,15.55 ,98.18 ,58.95 ,39.23 ,1.82 ,2.81 ,55.75 ,53.62 ,64.02 ,58.82 ,5.16 ,41.64 ,58.36 ,11.26 ,56.55 ,22.49 ,10.28 ,4.97 ,25.26 ,0.46 
0,BDI ,25.17 ,63.77 ,4.79 ,1.32 ,2.79 ,3.75 ,63.17 ,83.12 ,0.42 ,11.87 ,12.89 ,88.06 ,83.23 ,4.83 ,11.94 ,3.82 ,30.28 ,29.48 ,29.76 ,80.29 ,2.62 ,55.11 ,44.89 ,7.36 ,78.70 ,36.65 ,26.44 ,2.56 ,6.49 ,1.00 
0,PROFESIONAL ,48.35 ,26.46 ,21.80 ,1.55 ,0.42 ,1.23 ,48.06 ,81.26 ,1.53 ,5.65 ,6.76 ,95.03 ,80.80 ,14.23 ,4.97 ,4.26 ,59.49 ,53.19 ,70.10 ,53.10 ,2.84 ,56.11 ,43.89 ,14.36 ,51.76 ,25.65 ,11.46 ,2.54 ,17.49 ,1.69 
0,VIMENCA,25.87 ,4.34 ,62.82 ,3.44 ,0.00 ,1.91 ,67.26 ,83.54 ,0.75 ,14.21 ,15.08 ,99.98 ,99.98 ,0.00 ,0.02 ,2.41 ,30.97 ,30.97 ,88.70 ,80.39 ,9.18 ,45.20 ,54.80 ,52.00 ,79.08 ,13.28 ,7.83 ,9.18 ,7.76 ,0.30 
0,RESERVAS,22.08 ,59.40 ,6.94 ,3.65 ,0.75 ,3.78 ,64.08 ,76.56 ,2.30 ,2.67 ,5.85 ,92.79 ,59.02 ,33.77 ,7.21 ,3.54 ,28.85 ,26.48 ,27.49 ,79.56 ,0.42 ,57.88 ,42.12 ,27.58 ,70.47 ,1.54 ,0.65 ,0.38 ,3.68 ,16.21 
0,SCOTIA BANK,61.78 ,28.12 ,0.06 ,2.69 ,0.05 ,4.51 ,27.03 ,83.35 ,4.99 ,3.39 ,7.41 ,90.29 ,77.54 ,12.75 ,9.71 ,5.88 ,74.12 ,72.24 ,61.83 ,32.95 ,0.68 ,46.55 ,53.45 ,34.30 ,30.44 ,9.57 ,0.88 ,0.67 ,35.38 ,2.81 
0,CITIBANK,29.27 ,47.71 ,13.87 ,4.01 ,0.00 ,3.95 ,55.68 ,65.91 ,4.29 ,3.57 ,18.54 ,76.43 ,61.31 ,15.12 ,23.57 ,12.79 ,44.40 ,39.66 ,43.13 ,83.45 ,0.63 ,44.22 ,55.78 ,2.72 ,75.59 ,2.64 ,0.35 ,0.56 ,(4.39),8.65 
0,POPULAR,33.85 ,56.56 ,1.78 ,3.14 ,1.81 ,3.69 ,58.08 ,82.48 ,1.28 ,6.78 ,8.76 ,95.89 ,56.98 ,38.90 ,4.11 ,3.67 ,41.04 ,38.49 ,34.39 ,66.33 ,0.82 ,50.01 ,49.99 ,27.72 ,63.94 ,2.11 ,0.66 ,0.76 ,1.82 ,5.12 
0,DEL PROGRESO,32.18 ,49.74 ,8.10 ,3.12 ,0.76 ,5.16 ,57.16 ,78.45 ,1.78 ,4.86 ,5.83 ,94.12 ,46.90 ,47.21 ,5.88 ,4.59 ,41.02 ,36.20 ,39.07 ,65.06 ,0.51 ,36.40 ,63.60 ,29.31 ,61.41 ,1.83 ,0.98 ,0.45 ,1.07 ,2.92 
0,B.H.D.,29.20 ,59.93 ,2.18 ,2.92 ,1.30 ,3.78 ,57.43 ,75.02 ,3.41 ,4.30 ,7.23 ,86.56 ,42.96 ,43.59 ,13.44 ,6.10 ,38.92 ,34.88 ,29.81 ,74.20 ,0.42 ,48.70 ,51.30 ,13.80 ,66.96 ,1.65 ,0.87 ,0.38 ,2.52 ,5.71 
0,CRUZ,43.54 ,23.86 ,24.41 ,6.28 ,0.10 ,1.47 ,48.49 ,78.27 ,0.90 ,10.84 ,15.19 ,97.53 ,53.21 ,44.32 ,2.47 ,3.34 ,55.62 ,53.08 ,67.95 ,58.85 ,0.44 ,43.62 ,56.38 ,1.84 ,56.92 ,1.63 ,0.73 ,0.42 ,8.21 ,0.37 
0,BDI,21.11 ,65.05 ,5.93 ,1.33 ,2.65 ,4.95 ,64.10 ,83.02 ,0.47 ,12.14 ,13.25 ,85.45 ,78.29 ,7.16 ,14.55 ,4.44 ,25.42 ,24.75 ,26.86 ,83.22 ,0.24 ,64.61 ,35.39 ,4.03 ,81.82 ,2.54 ,1.76 ,0.23 ,0.50 ,1.69 
0,PROFESIONAL,48.59 ,23.84 ,23.64 ,1.44 ,0.40 ,1.50 ,47.42 ,77.28 ,1.74 ,5.28 ,7.20 ,95.08 ,76.78 ,18.30 ,4.92 ,4.67 ,62.87 ,54.11 ,72.18 ,52.88 ,0.24 ,51.43 ,48.57 ,1.60 ,51.17 ,3.00 ,1.20 ,0.21 ,14.07 ,1.75 
0,VIMENCA,27.43 ,5.73 ,59.39 ,3.12 ,0.00 ,1.92 ,65.25 ,83.10 ,0.84 ,13.10 ,15.26 ,100.00 ,100.00 ,0.00 ,0.00 ,2.09 ,33.01 ,33.01 ,86.82 ,78.37 ,0.75 ,43.85 ,56.15 ,28.86 ,76.86 ,2.93 ,1.25 ,0.75 ,10.77 ,0.28 
0,RESERVAS,27.44 ,55.66 ,6.40 ,3.51 ,0.70 ,3.33 ,59.77 ,77.17 ,2.27 ,2.51 ,5.69 ,92.41 ,60.43 ,31.98 ,7.59 ,3.61 ,35.55 ,32.90 ,32.39 ,74.42 ,0.82 ,56.00 ,44.00 ,28.97 ,65.81 ,2.98 ,1.26 ,0.76 ,7.27 ,13.49 
0,SCOTIA BANK,62.92 ,28.10 ,0.05 ,2.65 ,0.05 ,3.43 ,26.95 ,84.88 ,4.39 ,3.27 ,6.96 ,90.02 ,79.06 ,10.96 ,9.98 ,5.94 ,74.13 ,72.45 ,62.97 ,32.42 ,1.26 ,50.83 ,49.17 ,32.70 ,30.26 ,7.23 ,1.81 ,1.24 ,31.64 ,2.55 
0,CITIBANK,32.86 ,46.16 ,11.17 ,4.16 ,0.00 ,4.33 ,52.70 ,67.54 ,4.43 ,3.69 ,17.24 ,76.71 ,62.24 ,14.47 ,23.29 ,14.74 ,48.66 ,43.71 ,44.04 ,76.26 ,1.39 ,44.86 ,55.14 ,6.11 ,69.28 ,5.84 ,0.81 ,1.25 ,(5.31),13.44 
0,POPULAR,34.94 ,54.66 ,1.77 ,3.27 ,2.21 ,4.38 ,56.41 ,82.29 ,0.96 ,6.96 ,9.09 ,96.05 ,62.39 ,33.66 ,3.95 ,3.92 ,42.46 ,39.88 ,35.46 ,64.39 ,1.50 ,44.93 ,55.07 ,33.10 ,62.07 ,4.46 ,1.33 ,1.41 ,3.04 ,5.10 
0,DEL PROGRESO,37.42 ,47.33 ,3.76 ,3.29 ,0.83 ,6.41 ,48.20 ,79.91 ,2.02 ,5.11 ,6.15 ,89.34 ,44.81 ,44.53 ,10.66 ,4.84 ,46.82 ,41.88 ,39.94 ,57.19 ,1.12 ,33.36 ,66.64 ,30.73 ,54.44 ,4.50 ,1.97 ,1.00 ,1.51 ,1.60 
0,B.H.D.,27.35 ,61.05 ,2.28 ,3.10 ,1.39 ,4.19 ,59.11 ,74.69 ,2.97 ,4.53 ,7.82 ,87.12 ,44.47 ,42.65 ,12.88 ,6.42 ,36.62 ,33.06 ,27.97 ,76.56 ,0.96 ,45.27 ,54.73 ,20.98 ,68.70 ,3.48 ,1.74 ,0.87 ,5.16 ,5.05 
0,CRUZ,67.59 ,24.35 ,0.00 ,5.93 ,0.09 ,1.36 ,24.53 ,79.81 ,0.27 ,10.10 ,15.01 ,97.77 ,50.23 ,47.54 ,2.23 ,2.93 ,84.70 ,81.95 ,67.59 ,29.53 ,0.84 ,42.92 ,57.08 ,4.40 ,28.65 ,7.57 ,1.44 ,0.81 ,14.71 ,0.82 
0,BDI,19.77 ,63.21 ,9.43 ,1.29 ,2.61 ,4.66 ,65.19 ,82.43 ,0.71 ,11.90 ,12.34 ,84.23 ,76.01 ,8.23 ,15.77 ,4.52 ,23.98 ,23.23 ,29.02 ,85.37 ,0.50 ,61.20 ,38.80 ,6.07 ,82.86 ,4.90 ,3.45 ,0.48 ,(4.52),1.76 
0,PROFESIONAL,43.51 ,25.86 ,26.74 ,1.50 ,0.12 ,1.16 ,52.10 ,78.86 ,1.67 ,5.52 ,7.47 ,93.68 ,74.75 ,18.93 ,6.32 ,4.45 ,55.17 ,48.38 ,70.20 ,58.50 ,0.53 ,55.30 ,44.70 ,3.53 ,56.85 ,5.90 ,2.45 ,0.46 ,13.17 ,1.88 
0,VIMENCA,25.68 ,5.02 ,63.72 ,2.20 ,0.00 ,1.34 ,68.82 ,87.86 ,0.61 ,9.40 ,11.29 ,99.99 ,99.99 ,0.00 ,0.01 ,1.72 ,29.23 ,29.23 ,89.40 ,78.23 ,1.11 ,46.28 ,53.72 ,29.22 ,77.48 ,4.78 ,1.86 ,1.11 ,14.27 ,0.20 
0,RESERVAS,26.17 ,59.06 ,3.51 ,4.03 ,0.74 ,4.03 ,60.86 ,75.98 ,3.12 ,2.73 ,6.19 ,93.66 ,62.95 ,30.71 ,6.34 ,3.56 ,34.45 ,31.31 ,28.11 ,74.84 ,1.47 ,54.42 ,45.58 ,29.48 ,66.69 ,5.08 ,2.05 ,1.34 ,11.48 ,12.16 
0,SCOTIA BANK,59.43 ,29.93 ,0.05 ,4.81 ,0.05 ,3.75 ,28.39 ,79.39 ,9.53 ,6.29 ,8.53 ,89.75 ,80.95 ,8.80 ,10.25 ,5.19 ,74.86 ,74.04 ,59.48 ,37.36 ,1.89 ,56.94 ,43.06 ,19.18 ,32.78 ,13.36 ,2.93 ,1.86 ,35.68 ,15.30 
0,CITIBANK,36.38 ,45.94 ,7.59 ,4.40 ,0.43 ,4.73 ,49.17 ,68.90 ,4.27 ,3.90 ,16.88 ,77.22 ,63.85 ,13.37 ,22.78 ,14.66 ,52.79 ,48.26 ,43.97 ,71.02 ,2.56 ,41.09 ,58.91 ,12.98 ,64.41 ,9.97 ,1.28 ,2.34 ,1.05 ,14.34 
0,POPULAR,36.62 ,52.20 ,2.21 ,3.53 ,1.87 ,4.45 ,55.18 ,84.33 ,1.48 ,7.63 ,8.41 ,96.14 ,66.30 ,29.84 ,3.86 ,5.26 ,43.43 ,41.52 ,37.21 ,61.68 ,1.82 ,42.14 ,57.86 ,30.61 ,59.41 ,7.11 ,2.04 ,1.74 ,4.34 ,4.57 
0,PROGRESO,36.62 ,46.91 ,4.23 ,3.34 ,0.85 ,7.52 ,49.73 ,80.35 ,1.84 ,5.49 ,6.74 ,92.43 ,51.98 ,40.45 ,7.57 ,4.72 ,45.57 ,41.16 ,39.60 ,57.48 ,1.81 ,32.52 ,67.48 ,25.60 ,54.83 ,6.58 ,3.02 ,1.63 ,2.84 ,1.87 
0,B.H.D.,28.62 ,60.28 ,2.26 ,3.31 ,1.47 ,4.45 ,61.50 ,76.23 ,2.58 ,5.57 ,8.33 ,92.01 ,47.56 ,44.45 ,7.99 ,6.38 ,37.54 ,34.32 ,29.27 ,75.00 ,1.58 ,42.81 ,57.19 ,26.02 ,68.22 ,5.61 ,2.70 ,1.45 ,7.03 ,6.00 
0,CRUZ,42.59 ,22.75 ,25.54 ,6.66 ,0.10 ,1.91 ,48.71 ,78.40 ,0.47 ,10.96 ,17.14 ,98.10 ,61.72 ,36.38 ,1.90 ,3.68 ,54.32 ,52.76 ,68.13 ,59.83 ,1.47 ,43.87 ,56.13 ,8.81 ,58.28 ,7.75 ,2.51 ,1.43 ,20.75 ,0.88 
0,SANTIAGO,81.17 ,13.81 ,0.00 ,1.98 ,1.08 ,2.53 ,9.79 ,63.91 ,0.71 ,27.10 ,34.66 ,48.01 ,48.01 ,0.00 ,51.99 ,32.25 ,127.00 ,126.51 ,81.17 ,21.53 ,3.74 ,45.26 ,54.74 ,39.51 ,21.14 ,38.03 ,1.65 ,3.72 ,20.10 ,0.75 
0,BDI,18.30 ,65.09 ,9.25 ,1.31 ,2.64 ,4.65 ,70.82 ,82.43 ,0.45 ,12.03 ,13.06 ,90.37 ,82.56 ,7.81 ,9.63 ,4.47 ,22.20 ,21.57 ,27.43 ,87.63 ,0.89 ,52.50 ,47.50 ,9.45 ,85.50 ,7.68 ,5.26 ,0.86 ,1.55 ,0.85 
0,PROFESIONAL,46.01 ,30.79 ,18.50 ,1.86 ,0.15 ,1.62 ,48.91 ,88.60 ,1.13 ,6.90 ,9.53 ,94.46 ,76.52 ,17.94 ,5.54 ,4.36 ,51.93 ,51.83 ,64.45 ,55.53 ,0.81 ,56.51 ,43.49 ,5.06 ,54.48 ,11.70 ,4.52 ,0.81 ,16.07 ,2.15 
0,VIMENCA,17.48 ,5.52 ,71.72 ,2.14 ,0.00 ,1.42 ,77.30 ,86.33 ,0.51 ,9.00 ,11.84 ,100.00 ,100.00 ,0.00 ,0.00 ,1.22 ,20.24 ,20.24 ,89.20 ,89.47 ,1.77 ,42.23 ,57.77 ,29.53 ,87.61 ,7.69 ,3.38 ,1.77 ,21.87 ,0.24 
0,RESERVAS,31.43 ,55.80 ,3.22 ,3.92 ,0.59 ,3.10 ,57.75 ,78.52 ,2.60 ,2.50 ,5.76 ,94.06 ,62.63 ,31.43 ,5.94 ,3.76 ,40.04 ,36.73 ,33.20 ,68.95 ,1.82 ,52.50 ,47.50 ,29.37 ,62.63 ,6.75 ,2.47 ,1.67 ,13.62 ,12.14 
0,SCOTIA BANK,60.79 ,30.23 ,0.00 ,4.79 ,0.04 ,2.87 ,28.79 ,83.35 ,3.23 ,6.26 ,10.38 ,90.51 ,82.61 ,7.91 ,9.49 ,4.97 ,72.93 ,72.25 ,60.79 ,35.94 ,2.62 ,52.17 ,47.83 ,21.73 ,33.73 ,18.77 ,3.88 ,2.59 ,65.72 ,14.34 
0,CITIBANK,39.94 ,39.84 ,11.27 ,4.16 ,0.21 ,4.44 ,45.88 ,68.32 ,4.24 ,3.71 ,15.27 ,71.77 ,60.72 ,11.05 ,28.23 ,17.40 ,58.45 ,53.38 ,51.20 ,68.31 ,3.26 ,42.35 ,57.65 ,12.74 ,60.32 ,12.16 ,1.63 ,2.98 ,(3.84),20.31 
0,POPULAR,38.40 ,50.33 ,2.20 ,3.50 ,1.62 ,4.58 ,53.25 ,84.51 ,1.04 ,7.46 ,8.35 ,95.72 ,66.12 ,29.60 ,4.28 ,5.63 ,45.43 ,43.49 ,38.99 ,59.49 ,2.62 ,36.88 ,63.12 ,33.90 ,57.31 ,9.59 ,2.72 ,2.51 ,5.85 ,4.57 
0,DEL PROGRESO,38.80 ,42.59 ,6.96 ,3.13 ,0.86 ,7.31 ,48.97 ,80.74 ,2.14 ,5.96 ,6.41 ,93.75 ,49.56 ,44.19 ,6.25 ,4.95 ,48.05 ,43.60 ,41.63 ,55.68 ,2.36 ,31.18 ,68.82 ,22.09 ,52.95 ,8.22 ,3.80 ,2.14 ,3.97 ,1.45 
0,B.H.D.,30.34 ,57.48 ,2.16 ,3.15 ,1.40 ,4.21 ,57.56 ,75.06 ,2.96 ,5.29 ,8.01 ,89.79 ,47.14 ,42.65 ,10.21 ,6.84 ,40.42 ,37.01 ,30.90 ,72.76 ,2.10 ,42.88 ,57.12 ,26.25 ,64.84 ,7.62 ,3.48 ,1.92 ,8.49 ,0.04 
0,CRUZ,48.02 ,21.27 ,22.23 ,6.49 ,0.09 ,1.47 ,44.02 ,79.65 ,0.56 ,10.42 ,16.83 ,98.16 ,61.92 ,36.23 ,1.84 ,4.15 ,60.29 ,58.60 ,70.25 ,53.09 ,2.01 ,41.66 ,58.34 ,8.62 ,52.31 ,10.86 ,3.15 ,1.95 ,28.17 ,3.39 
0,SANTIAGO,82.59 ,12.36 ,0.00 ,1.85 ,1.04 ,2.51 ,8.99 ,61.95 ,2.77 ,25.89 ,34.58 ,47.61 ,47.61 ,0.00 ,52.39 ,34.55 ,133.31 ,132.81 ,82.59 ,19.87 ,5.13 ,43.55 ,56.45 ,41.47 ,18.89 ,59.40 ,2.43 ,5.11 ,25.39 ,1.24 
0,BDI,15.21 ,67.39 ,8.86 ,1.44 ,2.81 ,5.15 ,69.20 ,83.56 ,0.61 ,12.80 ,13.40 ,85.28 ,79.38 ,5.91 ,14.72 ,4.74 ,18.20 ,17.89 ,23.97 ,89.67 ,1.32 ,51.13 ,48.87 ,9.82 ,88.05 ,10.45 ,7.59 ,1.30 ,(2.04),0.00 
0,PROFESIONAL,44.01 ,32.92 ,18.28 ,1.83 ,0.09 ,1.42 ,50.77 ,87.37 ,1.00 ,7.87 ,9.65 ,94.68 ,77.31 ,17.37 ,5.32 ,4.05 ,50.37 ,50.29 ,62.22 ,58.51 ,1.19 ,60.93 ,39.07 ,6.27 ,56.67 ,14.45 ,5.95 ,1.19 ,19.99 ,0.00 
0,VIMENCA,20.63 ,5.00 ,69.46 ,1.90 ,0.00 ,1.06 ,74.52 ,86.90 ,0.39 ,7.53 ,10.73 ,100.00 ,100.00 ,0.00 ,0.00 ,1.12 ,23.74 ,23.74 ,90.09 ,85.69 ,2.19 ,38.98 ,61.02 ,30.31 ,83.41 ,10.22 ,4.30 ,2.19 ,32.04 ,0.00 
0,RESERVAS,31.84 ,54.62 ,3.00 ,3.85 ,0.66 ,3.09 ,56.39 ,79.41 ,2.13 ,2.41 ,5.67 ,93.82 ,63.22 ,30.60 ,6.18 ,4.02 ,40.09 ,37.76 ,33.44 ,68.35 ,2.26 ,50.91 ,49.09 ,29.89 ,61.08 ,8.26 ,3.10 ,2.13 ,15.65 ,14.29 
0,SCOTIA BANK,62.15 ,29.16 ,0.00 ,4.51 ,0.04 ,2.34 ,27.84 ,83.35 ,3.03 ,5.90 ,10.82 ,90.76 ,83.01 ,7.75 ,9.24 ,4.93 ,74.56 ,73.88 ,62.15 ,34.67 ,3.02 ,52.06 ,47.94 ,20.91 ,32.70 ,24.75 ,4.62 ,2.99 ,83.52 ,13.72 
0,CITIBANK,43.38 ,35.33 ,12.63 ,3.74 ,0.19 ,4.29 ,44.99 ,71.81 ,4.47 ,3.32 ,14.84 ,75.02 ,61.86 ,13.16 ,24.98 ,18.08 ,60.40 ,55.63 ,56.01 ,61.51 ,3.55 ,41.49 ,58.51 ,13.26 ,56.32 ,14.76 ,1.77 ,3.27 ,4.22 ,23.10 
0,POPULAR,41.03 ,48.20 ,2.16 ,3.36 ,1.38 ,4.21 ,50.79 ,86.14 ,0.66 ,7.15 ,8.09 ,95.78 ,67.40 ,28.38 ,4.22 ,5.08 ,47.64 ,45.82 ,41.64 ,56.23 ,3.10 ,35.95 ,64.05 ,33.77 ,54.79 ,12.31 ,3.30 ,2.98 ,7.09 ,2.69 
0,DEL PROGRESO,37.11 ,43.51 ,8.64 ,3.11 ,0.71 ,6.07 ,51.58 ,84.46 ,2.06 ,5.87 ,6.35 ,93.81 ,50.19 ,43.62 ,6.19 ,4.95 ,43.94 ,41.34 ,41.69 ,58.09 ,2.73 ,31.40 ,68.60 ,19.18 ,55.69 ,9.51 ,4.71 ,2.56 ,4.57 ,1.08 
0,B.H.D.,36.76 ,52.87 ,2.33 ,2.98 ,1.29 ,3.65 ,52.22 ,78.09 ,2.84 ,4.91 ,7.54 ,87.06 ,44.78 ,42.28 ,12.94 ,7.73 ,47.08 ,43.84 ,37.54 ,65.83 ,2.40 ,42.80 ,57.20 ,25.52 ,59.71 ,9.56 ,4.03 ,2.23 ,9.98 ,4.52 
0,CRUZ,52.61 ,18.75 ,18.72 ,5.65 ,0.08 ,3.86 ,37.92 ,78.28 ,2.99 ,9.14 ,15.56 ,97.24 ,61.98 ,35.26 ,2.76 ,5.02 ,67.21 ,65.43 ,71.34 ,46.60 ,2.25 ,42.63 ,57.37 ,10.45 ,44.38 ,13.61 ,3.71 ,2.19 ,34.89 ,0.87 
0,SANTIAGO,86.08 ,9.92 ,0.00 ,1.44 ,0.82 ,2.41 ,6.98 ,68.67 ,1.04 ,31.79 ,29.76 ,45.71 ,42.71 ,3.00 ,54.29 ,35.05 ,125.35 ,125.02 ,86.08 ,14.40 ,5.03 ,40.61 ,59.39 ,40.47 ,14.12 ,86.77 ,3.06 ,5.02 ,36.28 ,0.56 
0,BDI,17.17 ,64.35 ,10.18 ,1.38 ,2.75 ,5.25 ,67.96 ,84.27 ,0.72 ,13.08 ,12.18 ,85.24 ,79.35 ,5.89 ,14.76 ,5.06 ,20.38 ,19.95 ,27.26 ,86.59 ,1.72 ,48.07 ,51.93 ,10.13 ,84.87 ,13.06 ,9.21 ,1.68 ,(8.18),1.14 
