estatus,banco,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30
0,SCOTIA BANK,31.17 ,62.22 ,0.18 ,2.15 ,0.43 ,2.42 ,62.02 ,79.97 ,1.56 ,6.49 ,12.53 ,96.95 ,87.23 ,9.72 ,3.05 ,2.45 ,38.98 ,37.00 ,31.36 ,74.07 ,1.56 ,52.89 ,47.11 ,26.75 ,71.34 ,4.14 ,1.67 ,1.48 ,4.39 ,1.89 
0,CITIBANK,21.02 ,55.48 ,11.32 ,5.79 ,0.00 ,4.68 ,65.26 ,57.05 ,4.32 ,4.90 ,21.06 ,93.89 ,62.34 ,31.55 ,6.11 ,3.44 ,36.85 ,33.39 ,32.34 ,106.12 ,1.59 ,52.27 ,47.73 ,20.82 ,84.62 ,4.06 ,0.63 ,1.44 ,5.94 ,6.22 
0,POPULAR,21.69 ,68.04 ,0.09 ,4.43 ,0.43 ,3.14 ,67.63 ,78.33 ,1.42 ,7.56 ,11.31 ,96.84 ,64.16 ,32.68 ,3.16 ,2.44 ,27.69 ,25.46 ,21.77 ,80.00 ,1.86 ,44.11 ,55.89 ,48.39 ,76.82 ,3.97 ,1.22 ,1.71 ,3.21 ,7.17 
0,DEL PROGRESO,18.90 ,57.62 ,9.28 ,4.81 ,0.89 ,7.59 ,65.95 ,75.80 ,1.55 ,8.01 ,10.06 ,94.06 ,52.07 ,42.00 ,5.94 ,4.36 ,24.94 ,21.81 ,27.63 ,77.17 ,1.52 ,36.32 ,63.68 ,18.77 ,74.39 ,4.00 ,1.79 ,1.33 ,3.50 ,1.64 
1,BANCREDITO,25.20 ,54.92 ,0.91 ,6.63 ,1.28 ,8.82 ,55.39 ,70.15 ,2.34 ,8.17 ,10.91 ,92.84 ,59.34 ,33.50 ,7.16 ,6.43 ,35.92 ,30.15 ,25.75 ,66.79 ,1.21 ,48.18 ,51.82 ,21.45 ,62.66 ,6.64 ,2.66 ,1.02 ,2.78 ,5.00 
1,MERCANTIL,20.72 ,66.83 ,0.22 ,4.19 ,0.96 ,4.67 ,66.08 ,79.71 ,1.44 ,7.07 ,8.88 ,94.03 ,67.71 ,26.32 ,5.97 ,4.60 ,25.99 ,23.92 ,20.64 ,77.40 ,1.15 ,41.63 ,58.37 ,16.03 ,73.57 ,4.93 ,2.61 ,1.06 ,0.58 ,13.23 
0,B.H.D.,19.41 ,67.77 ,2.01 ,4.16 ,0.72 ,5.38 ,67.82 ,77.01 ,2.77 ,5.93 ,9.79 ,92.10 ,43.94 ,48.16 ,7.90 ,5.16 ,25.20 ,22.96 ,19.91 ,82.53 ,1.14 ,50.06 ,49.94 ,31.22 ,77.36 ,3.25 ,1.62 ,1.04 ,2.35 ,7.02 
0,CRUZ,62.05 ,30.21 ,0.00 ,5.68 ,0.37 ,1.72 ,30.06 ,75.97 ,0.21 ,10.29 ,11.98 ,97.68 ,63.89 ,33.79 ,2.32 ,1.86 ,81.68 ,77.42 ,62.05 ,37.68 ,0.96 ,43.23 ,56.77 ,11.42 ,34.32 ,7.19 ,1.75 ,0.91 ,4.06 ,0.41 
0,SANTIAGO,15.60 ,56.18 ,0.00 ,3.76 ,0.64 ,23.96 ,37.22 ,55.85 ,0.37 ,51.38 ,42.18 ,56.94 ,56.94 ,0.00 ,43.06 ,14.06 ,27.92 ,27.92 ,15.60 ,100.60 ,3.86 ,47.37 ,52.63 ,45.77 ,97.17 ,4.87 ,3.71 ,3.86 ,(1.62),0.47 
0,BDI,32.92 ,61.44 ,0.20 ,1.08 ,2.82 ,3.19 ,50.68 ,83.55 ,0.57 ,9.36 ,10.56 ,79.92 ,78.94 ,0.98 ,20.08 ,2.73 ,39.40 ,38.28 ,32.97 ,71.67 ,0.32 ,60.35 ,39.65 ,6.67 ,68.91 ,5.94 ,3.69 ,0.31 ,0.58 ,0.00 
0,PROFESIONAL,29.88 ,60.83 ,0.56 ,3.16 ,0.61 ,2.37 ,58.52 ,84.23 ,0.71 ,8.78 ,10.37 ,93.07 ,84.94 ,8.14 ,6.93 ,2.33 ,35.47 ,35.00 ,29.88 ,71.91 ,0.69 ,58.68 ,41.32 ,19.84 ,68.49 ,4.46 ,2.68 ,0.69 ,1.42 ,15.18 
0,VIMENCA,41.15 ,1.56 ,40.42 ,9.38 ,0.00 ,7.21 ,42.24 ,59.16 ,1.92 ,36.38 ,37.73 ,95.95 ,95.95 ,0.00 ,4.05 ,17.88 ,69.55 ,69.55 ,81.57 ,70.95 ,4.60 ,70.71 ,29.29 ,64.88 ,67.41 ,2.49 ,2.21 ,4.60 ,2.99 ,0.00 
0,RESERVAS,31.41 ,52.83 ,4.00 ,3.29 ,0.21 ,2.23 ,55.27 ,70.97 ,2.47 ,3.90 ,6.94 ,94.40 ,73.99 ,20.41 ,5.60 ,2.72 ,44.26 ,38.81 ,34.26 ,70.21 ,1.42 ,66.56 ,33.44 ,32.60 ,61.07 ,4.73 ,1.87 ,1.25 ,7.06 ,5.78 
0,SCOTIA BANK,34.26 ,60.46 ,0.17 ,2.04 ,0.42 ,1.21 ,60.39 ,79.20 ,1.53 ,8.02 ,12.28 ,97.25 ,85.34 ,11.92 ,2.75 ,2.35 ,43.26 ,41.53 ,34.43 ,73.50 ,2.23 ,56.87 ,43.13 ,27.59 ,69.12 ,6.39 ,2.47 ,2.14 ,7.73 ,14.44 
0,CITIBANK,26.36 ,52.92 ,9.22 ,5.97 ,0.00 ,4.61 ,61.73 ,55.67 ,5.13 ,4.89 ,20.05 ,95.67 ,62.52 ,33.16 ,4.33 ,3.59 ,47.35 ,42.69 ,35.58 ,100.63 ,2.64 ,53.33 ,46.67 ,22.67 ,77.72 ,6.15 ,0.96 ,2.38 ,9.31 ,4.14 
0,POPULAR,23.11 ,66.68 ,0.43 ,4.40 ,0.41 ,2.82 ,66.73 ,80.10 ,1.69 ,8.38 ,9.50 ,96.83 ,63.07 ,33.76 ,3.17 ,2.61 ,28.85 ,27.09 ,23.54 ,78.66 ,2.62 ,41.67 ,58.33 ,47.21 ,74.15 ,5.93 ,1.82 ,2.46 ,6.11 ,12.73 
0,DEL PROGRESO,18.04 ,52.67 ,14.87 ,4.51 ,0.84 ,8.17 ,66.74 ,77.59 ,1.57 ,7.52 ,9.60 ,94.02 ,52.49 ,41.53 ,5.98 ,4.53 ,23.25 ,20.74 ,32.38 ,77.65 ,2.19 ,35.19 ,64.81 ,20.80 ,74.71 ,5.65 ,2.69 ,1.95 ,5.23 ,67.10 
1,BANCREDITO,33.07 ,50.77 ,0.87 ,6.57 ,1.21 ,6.83 ,51.68 ,70.95 ,2.23 ,7.83 ,10.75 ,93.40 ,56.14 ,37.27 ,6.60 ,6.67 ,46.61 ,39.32 ,33.60 ,61.40 ,1.83 ,46.46 ,53.54 ,21.88 ,57.86 ,10.61 ,4.45 ,1.54 ,4.39 ,5.82 
1,MERCANTIL,24.49 ,62.56 ,0.88 ,4.11 ,0.91 ,4.40 ,62.56 ,81.91 ,1.07 ,6.71 ,8.61 ,93.92 ,65.59 ,28.32 ,6.08 ,4.74 ,29.90 ,28.06 ,25.08 ,72.68 ,1.61 ,42.33 ,57.67 ,17.38 ,69.42 ,7.34 ,3.88 ,1.51 ,2.75 ,8.23 
0,B.H.D.,21.49 ,65.99 ,1.99 ,4.25 ,1.14 ,5.21 ,67.00 ,77.27 ,2.63 ,6.76 ,9.56 ,93.34 ,43.15 ,50.18 ,6.66 ,5.26 ,27.81 ,25.21 ,21.99 ,79.76 ,1.64 ,50.03 ,49.97 ,30.51 ,75.17 ,5.01 ,2.44 ,1.49 ,3.97 ,12.84 
1,BANINTER,3.39 ,59.47 ,0.88 ,3.80 ,1.33 ,28.80 ,58.02 ,48.20 ,1.26 ,6.41 ,7.05 ,93.84 ,52.23 ,41.60 ,6.16 ,2.34 ,7.04 ,3.82 ,3.52 ,67.96 ,1.69 ,42.64 ,57.36 ,22.49 ,64.93 ,3.81 ,2.45 ,0.92 ,(10.05),20.63 
0,CRUZ,62.34 ,29.46 ,0.00 ,5.83 ,0.41 ,1.97 ,29.35 ,80.81 ,0.28 ,10.35 ,12.18 ,97.37 ,63.53 ,33.84 ,2.63 ,2.28 ,77.15 ,72.77 ,62.34 ,34.39 ,1.41 ,43.65 ,56.35 ,12.48 ,33.54 ,12.10 ,2.68 ,1.33 ,6.85 ,89.84 
0,SANTIAGO,35.86 ,52.88 ,0.00 ,3.64 ,2.29 ,7.14 ,38.51 ,57.56 ,0.50 ,50.39 ,28.78 ,62.46 ,62.46 ,0.00 ,37.54 ,14.23 ,62.31 ,62.31 ,35.86 ,91.88 ,5.31 ,46.73 ,53.27 ,45.42 ,74.26 ,9.30 ,5.29 ,5.31 ,0.66 ,216.36 
0,BDI,34.12 ,56.25 ,4.13 ,1.05 ,2.74 ,3.28 ,53.27 ,85.05 ,0.59 ,8.88 ,10.48 ,84.81 ,83.77 ,1.04 ,15.19 ,2.90 ,40.12 ,39.08 ,38.11 ,69.15 ,0.45 ,58.17 ,41.83 ,6.77 ,67.45 ,8.85 ,5.37 ,0.44 ,5.04 ,0.00 
0,PROFESIONAL,32.05 ,58.91 ,0.11 ,3.62 ,0.59 ,2.35 ,57.37 ,84.77 ,0.58 ,8.66 ,10.43 ,94.89 ,84.56 ,10.33 ,5.11 ,2.37 ,37.81 ,37.49 ,32.05 ,69.04 ,1.05 ,61.60 ,38.40 ,19.46 ,65.89 ,7.24 ,4.06 ,1.04 ,2.66 ,6.48 
0,VIMENCA,58.93 ,0.98 ,28.30 ,6.65 ,0.00 ,4.33 ,29.46 ,55.26 ,1.04 ,25.47 ,26.16 ,95.56 ,95.56 ,0.00 ,4.44 ,19.59 ,106.64 ,106.64 ,87.23 ,52.98 ,5.51 ,60.52 ,39.48 ,65.25 ,39.65 ,4.68 ,2.70 ,5.51 ,4.26 ,0.00 
0,RESERVAS,34.92 ,50.63 ,4.82 ,3.08 ,0.21 ,1.73 ,53.93 ,73.26 ,2.26 ,3.52 ,6.35 ,94.45 ,70.45 ,24.01 ,5.55 ,2.62 ,47.66 ,41.76 ,38.37 ,66.32 ,1.70 ,65.01 ,34.99 ,31.55 ,59.21 ,6.09 ,2.35 ,1.49 ,8.65 ,13.71 
0,SCOTIA BANK,40.64 ,55.58 ,0.15 ,1.72 ,0.32 ,0.90 ,55.49 ,81.55 ,2.06 ,6.98 ,11.19 ,97.48 ,85.39 ,12.08 ,2.52 ,2.09 ,49.83 ,48.20 ,40.79 ,66.10 ,2.56 ,54.91 ,45.09 ,29.62 ,62.76 ,8.16 ,2.92 ,2.48 ,12.76 ,5.61 
0,CITIBANK,22.23 ,51.67 ,13.58 ,6.25 ,0.00 ,5.22 ,63.98 ,60.79 ,5.73 ,4.79 ,20.84 ,94.01 ,60.84 ,33.17 ,5.99 ,3.62 ,36.58 ,33.22 ,35.81 ,97.49 ,3.21 ,50.83 ,49.17 ,24.36 ,82.43 ,9.04 ,1.21 ,2.91 ,15.97 ,22.97 
